The image shows a white sign with a list of options. The options are labeled with numbers, and the sign is attached to a wall. The list includes the following options:

1. Zones
2. Boy's City
3. Boy's Country
4. Girl's City
5. Girl's Country
6. Boy's City
7. Boy's Country
8. Girl's City
9. Girl's Country
10. Boy's City
11. Boy's Country
12. Girl's City
13. Girl's Country
14. Boy's City
15. Boy's Country
16. Girl's City
17. Girl's Country
18. Boy's City
19. Boy's Country
20. Girl's City
21. Girl's Country
22. Boy'
